,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
374,https://www.realtor.com/rentals/details/12314-Mayfield-Rd-Unit-501_Cleveland_OH_44106_M95085-51195,9508551195,2973023780,NEOH,5074027,FOR_RENT,"La Collina features 1, 2, and 3 bedroom luxury apartments, situated within the historic neighborhood of Little Italy where fine cuisine, local bakeries, and quaint shops decorate the district. Each apartment has quartz counter-tops, luxury vinyl tile (LVT) flooring, eat-in kitchen with island, walk-in closets, stainless steel appliances, in-suite washer & dryer, private balcony and large windows to allow natural light into each space. Property amenities include, dry-cleaning service, attached garage parking, controlled access, community patio with gas grill and fire pit, bike storage, dog-wash station, fitness center, and professional management. Residents will also enjoy the abundance of attractions within walking distance, including the Cleveland Museum of Art, Cleveland, Botanical Gardens, Severance Hall, University Circle, and Wade Oval. The property has close proximity to Cleveland Clinic, University Hospitals, and Case Western Reserve University. Contact us Today to schedule a tour! Only a limited number of apartments are available at this superior location in Little Italy. We are currently offering First and Last month rent free on a fourteen or great month lease. For short term options, please contact the leasing office.",APARTMENT,12314 Mayfield Rd Unit 501,12314 Mayfield Rd,Unit 501,Cleveland,OH,44106,2,2,,1271,2019,61,3050,2024-09-30,,,,False,,2,41.508423,-81.596878,"University Circle, Little Italy",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.6619957175541074,1525.0,28.79622344610543,14.398111723052715
375,https://www.realtor.com/rentals/details/2344-Prospect-Ave-E-Apt-211_Cleveland_OH_44115_M96074-58660,9607458660,2973199229,AVAL,61198867,FOR_RENT,"We are located across the street of the Cleveland State University Campus. 2344 Prospect Ave. You can rent these units FURNISHED or UNFURNISHED. All Utilities are included IN RENT. All you are responsible for is Cable and Internet. Quick access to public transportation, Next to E LINE TROLLEY. Takes you to all downtown attractions. We offer short 3-month leases. Milton Manor Apartments. No appointment is needed. Our office hours are, Mon-Fri 10-4pm. Contact info, Phone: Website: MiltonManor.us Email:",APARTMENT,2344 Prospect Ave E Apt 211,2344 Prospect Ave,Apt 211,Cleveland,OH,44115,1,1,,600,,58,850,2024-10-03,,,,False,,1,41.500053,-81.672493,"Downtown Cleveland, Campus District, CSU - Euclid Corridor",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Invictus High School School District",3.338061066561084,850.0,17.0,17.0
376,https://www.realtor.com/rentals/details/1862-E-123rd-St_Cleveland_OH_44106_M99127-80113,9912780113,2973024149,NEOH,5074176,FOR_RENT,"The Monroe combines style and functionality with features such as balconies, large closets, open floorplans, granite counters, and stainless steel appliances. Unwind in the serenity of thoughtfully crafted living spaces that redefine modern comfort. At The Monroe, luxury extends beyond your doorstep. Revel in our carefully curated amenities, from a cutting-edge fitness center to a pet spa and bocce ball court. Our community room, outdoor lounge, and splash pad create social spaces that enhance every moment of your vibrant lifestyle. Situated within steps of both Little Italy and University Circle, residents have easy access to prime restaurants and entertainment.",APARTMENT,1862 E 123rd St Unit 419,1862 E 123rd St,Unit 419,Cleveland,OH,44106,1,1,,740,2022,61,1999,2024-09-30,,477230,,False,,3,41.512067,-81.598629,"University Circle, Little Italy",Cuyahoga,39035,4,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.7377231099470427,1999.0,32.41621621621621,32.41621621621621
377,https://www.realtor.com/rentals/details/12314-Mayfield-Rd-Unit-502_Cleveland_OH_44106_M97561-61079,9756161079,2972961050,NEOH,5073959,FOR_RENT,"La Collina features 1, 2, and 3 bedroom luxury apartments, situated within the historic neighborhood of Little Italy where fine cuisine, local bakeries, and quaint shops decorate the district. Each apartment has quartz counter-tops, luxury vinyl tile (LVT) flooring, eat-in kitchen with island, walk-in closets, stainless steel appliances, in-suite washer & dryer, private balcony and large windows to allow natural light into each space. Property amenities include, dry-cleaning service, attached garage parking, controlled access, community patio with gas grill and fire pit, bike storage, dog-wash station, fitness center, and professional management. Residents will also enjoy the abundance of attractions within walking distance, including the Cleveland Museum of Art, Cleveland, Botanical Gardens, Severance Hall, University Circle, and Wade Oval. The property has close proximity to Cleveland Clinic, University Hospitals, and Case Western Reserve University. Contact us Today to schedule a tour! Only a limited number of apartments are available at this superior location in Little Italy. We are currently offering First and Last month rent free on a fourteen or great month lease. For short term options, please contact the leasing office.",APARTMENT,12314 Mayfield Rd Unit 502,12314 Mayfield Rd,Unit 502,Cleveland,OH,44106,3,2,,1708,2019,61,3999,2024-09-30,,,,False,,2,41.508423,-81.596878,"University Circle, Little Italy",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.6619957175541074,1333.0,28.096018735362996,9.365339578454332
378,https://www.realtor.com/rentals/details/1862-E-123rd-St_Cleveland_OH_44106_M99127-80113,9912780113,2973024335,NEOH,5074179,FOR_RENT,"The Monroe combines style and functionality with features such as balconies, large closets, open floorplans, granite counters, and stainless steel appliances. Unwind in the serenity of thoughtfully crafted living spaces that redefine modern comfort. At The Monroe, luxury extends beyond your doorstep. Revel in our carefully curated amenities, from a cutting-edge fitness center to a pet spa and bocce ball court. Our community room, outdoor lounge, and splash pad create social spaces that enhance every moment of your vibrant lifestyle. Situated within steps of both Little Italy and University Circle, residents have easy access to prime restaurants and entertainment.",APARTMENT,1862 E 123rd St Unit 401,1862 E 123rd St,Unit 401,Cleveland,OH,44106,2,2,,1609,2022,61,3799,2024-09-30,,477230,,False,,2,41.512067,-81.598629,"University Circle, Little Italy",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.7377231099470427,1899.5,28.333126165320074,14.166563082660037
379,https://www.realtor.com/rentals/details/2189-Cornell-Rd-Apt-301_Cleveland_OH_44106_M91301-87717,9130187717,2973066261,NEOH,5074345,FOR_RENT,"Offering meticulously designed 1, 2, and 3 bedroom residences, The Baricelli is located at a prime address in Clevelands Little Italy and University Circle neighborhoods. Located just east of Downtown Cleveland, The Baricelli is situated in a quiet and quaint residential neighborhood in close proximity to the main campuses of world-renowned health systems including the Cleveland Clinic and University Hospitals, as well as Case Western Reserve University. The amenities at The Baricelli apartments were designed with residents in mind. The luxury apartments feature quartz countertops, luxury vinyl tile flooring, an eat-in kitchen with island, walk-in closets, stainless steel appliances, and in-suite washer & dryer. Property amenities include controlled access, private balconies, community outdoor area, fitness center, bike storage & professional management.",APARTMENT,2189 Cornell Rd Apt 301,2189 Cornell Rd,Apt 301,Cleveland,OH,44106,3,2,,1603,2021,60,4199,2024-10-01,,,554000,False,,3,41.504704,-81.600937,"University Circle, Little Italy",Cuyahoga,39035,4,,,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.38817197224767397,1399.6666666666667,31.433562071116658,10.477854023705552
388,https://www.realtor.com/rentals/details/13725-Lakewood-Heights-Blvd-Apt-1_Cleveland_OH_44107_M48953-52289,4895352289,2972824994,AVAL,61194872,FOR_RENT,"Welcome to our beautiful 1-bedroom, 1-bathroom apartment located in the vibrant city of Cleveland, OH. This apartment is perfect for those seeking a cozy and convenient living space. With its prime location, you'll have easy access to all that Cleveland has to offer. The open floor plan allows for seamless flow between the living area and kitchen, making it ideal for entertaining guests or simply relaxing after a long day. Our on-site laundry facility ensures that you'll never have to worry about finding a laundromat again. Say goodbye to the hassle of lugging your laundry around and enjoy the convenience of doing it right at home. Parking will never be an issue with our on-site parking facility. You can rest easy knowing that your vehicle is safe and secure, just steps away from your front door. Located in a desirable neighborhood, you'll have easy access to a variety of shopping, dining, and entertainment options. Whether you're looking to explore the local art scene, enjoy a night out on the town, or simply unwind in one of the nearby parks, there's something for everyone just moments away. Don't miss out on this incredible opportunity! Call to schedule a showing and take advantage of our special offer of half off the first month's rent. Experience the convenience and comfort of this 1-bedroom apartment with hardwood floors and on-site laundry and parking. Your new home awaits you in Cleveland, OH. Photos are for illustrative purposes only and do not reflect the exact unit Call to schedule a showing! Apply Now at Renter insurance required paid up for one year",APARTMENT,13725 Lakewood Heights Blvd Apt 1,13725 Lakewood Heights Blvd,Apt 1,Cleveland,OH,44107,1,1,,825,,65,850,2024-09-26,,,,False,,1,41.470238,-81.787241,"Kamm's Corners, West Park",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lakewood City Academy",9.573540026195435,850.0,12.363636363636363,12.363636363636363
389,https://www.realtor.com/rentals/details/3357-Desota-Ave-Apt-1_Cleveland_OH_44118_M91743-39866,9174339866,2972812104,NEOH,5071595,FOR_RENT,2 bedroom 1 bathroom 1st floor unit in the heard of Cleveland heights! Living room with brick mantelpiece adding a lovely touch! Hardwood floors throughout living room and dining room! Bright and roomy kitchen! Beautiful tilled floors in kitchen and bathroom! Make this cozy yet modern unit yours today!,MULTI_FAMILY,3357 Desota Ave Unit 1ST,3357 Desota Ave,Unit 1ST,Cleveland Heights,OH,44118,2,1,,1176,1925,65,950,2024-09-26,1793500,35290,214487,False,6011,1,41.510886,-81.559548,,Cuyahoga,39035,,0,1,"Cleveland Heights-University Heights City, Old Brook High School School District",2.574684156086844,475.0,9.693877551020408,4.846938775510204
390,https://www.realtor.com/rentals/details/11902-Continental-Ave-Up_Cleveland_OH_44120_M95318-19665,9531819665,2972882919,TRBO,890556,FOR_RENT,"PLEASE READ EVERYTHING SECTION 8 ACCEPTED!! Clean and Cozy Upper Unit in a Duplex with Brand New Appliances. Within walking distance from the park. QUALIFICATIONS: No Evictions within the last 3yrs A decent Credit score of 580 or better. At current job for at least 8mos Monthly Net Income should be at least 2.5 times the rent. $16 an hr Pass background Check. 1st Months rent + Security deposit of $875 to move in =$1, 750 Renter's Insurance is require. This is to protect you and the owner against any liabilities. Plans are as low as $8/month. I can send you a link unless you tend to shop around. (No Pets allowed!) To apply, visit TurboTenant and search for Property ID 890556",CONDOS,11902 Continental Ave Unit Up,11902 Continental Ave,Unit Up,Cleveland,OH,44120,2,1,,1001,,64,875,2024-09-27,,,,False,,1,41.476006,-81.600227,Buckeye - Shaker,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Wings Academy 1, Wings Academy 2, Randall Park High School",1.998139025542683,437.5,10.48951048951049,5.244755244755245
392,https://www.realtor.com/rentals/details/3461-E-143rd-St-1_Cleveland_OH_44120_M93946-80291,9394680291,2972790739,RNTR,10032390,FOR_RENT,"3 bedroom duplex unit that has been newly renovated with new kitchen, bathroom, flooring and paint.",APARTMENT,3461 E 143rd St Unit 1,3461 E 143rd St,Unit 1,Cleveland,OH,44120,3,1,,1100,1900,65,1250,2024-09-26,,,,False,,1,41.465275,-81.582092,Mount Pleasant,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, George V. Voinovich Reclamation Academy",3.0194461048107426,416.6666666666667,13.636363636363637,4.545454545454546
